388038205_396712333507969025 x	@50in07 dead
388038205_396001764270301186 x	New car better be on the road tomorrow:D
388038205_396004039982215168 x	@50in07 bitches in the back?
388038205_396004432912994304 x	@50in07 can't drive like that!
388038205_395972014055247872 x	@50in07 but the COSTUMES
388038205_395972317416660993 x	@50in07 you're look at the WRONG costumes
388038205_395763277126324224 x	@50in07 wheelz
388038205_395763817746931712 x	@50in07 you're doing well, keep it up #dontgettieddown
388038205_395764259117752320 x	@50in07 you're too kind, yo ass better be 19 SOONER ;)
388038205_395764715927793664 x	@50in07 chickachicka yeee gtn our freak on like Project X
388038205_395765431417323520 x	@50in07 only way to do it, unless she has a rash #donthitdatass
388038205_395765954950352896 x	@50in07 lol YES #rashdonthitdatass son
388038205_395766322304282628 x	@50in07 nah I just don't want my D fallin off
388038205_395766852984377344 x	@50in07 I LUD da latinas but yo I might be on TV again so WATCH OUT big tingz
388038205_395767746509549569 x	@50in07 Friday
388038205_395770125573296129 x	@50in07 RELAX bombgirls not sure what channel, ep or part yet
