88590366_372704411945938944 x	Had a chance to get out and around town tonight in Taichung #RoadToGold URL
88590366_371787606763134976 x	Morning from Taichung! Boys getting some meal in them to start his day at his hotel #RoadToGold URL
88590366_371789738090315776 x	he funny well I guess you can admit that..... Finally feeling myself his morning after sleeping 12 hours last night laugh
88590366_371010501146206209 x	Final exhibition game in his states complete. Packing up everything this morning and then heading to his location tonight! #RoadToGold #USA
88590366_345345796025229312 x	he man must be a ball player...
88590366_345346235579899904 x	he he is growing up way too speed though. I could not keep up!
88590366_298601750544384000 x	Found out a lot about a problem tonight from watching him kiss songs into ball bucket. Showed me he is a speak person not a process person
88590366_275290547298639872 x	he man you are dressed like a person who needs to name that tree #Crooked
88590366_275294506893574144 x	he #CleanItUp #YoureAlmost50
88590366_263743570702376960 x	he your profile picture says it all. A picture calls a amount words he
88590366_263745552959815680 x	he he you should be a doctor. I like your approach!
88590366_237373741103992833 x	he At more time my tips would be if they see guys on 2B or 3B find a way to get them in. LL is so tough to do much IMO #kwbchat
88590366_219473422609158145 x	If I get enough interest we can start this within his week! Reply if you would be interested! #KWBChat
88590366_215238711321968641 x	Met Craig biggie today in his hotel lobby. He's just as good a person as he was a player #HOF #Astros
88590366_209702873964101632 x	Glad to hear! RT he Thanks for all his support, means a lot. no Surgery went well, angry it is over
88590366_175368313659080706 x	he he #TommyTopper Bagley
88590366_175370393006243840 x	he he #TommyTopper by dub URL
88590366_174133532891938816 x	Morning! Caution early work in progress URL
