717733371_393211595180244992 x	Man those dodge commercials with will ferrell are hilarious! #willferrell
717733371_396030963018661890 x	@RealGlenMacnow ohh i love almond joys......said no one ever
717733371_395758917579722753 x	And now the baseball offseason begins. Phillies you better get your shit straight, im tired of this philly losing streaks! #phillynation
717733371_394920239575891968 x	So pulling for @MattBarkley to do well in the near future. We are going to need him. #brightfuture
717733371_394919457468190720 x	Been watching Ancient Aliens all morning and afternoon! # historychannel #addicted #ancientaliens
717733371_394562398457458688 x	How in the world is andy reid 8-0? Thats a huge smack in the face for an eagles fan! #dazedandconfused
717733371_393073794581286912 x	@SpikeEskin i dont mind him being a dallas fan, its just he tweeted when the eagles were playin the cowboys at home. Major violation!
717733371_391675199609114624 x	Doing some homework #accounting2
717733371_391201736435572736 x	god i hate the cowboys *cough i mean cowgirls #bleedgreen
717733371_391200432963342337 x	@RealGlenMacnow praise the baseball gods!
717733371_391181581185863680 x	@Jkelce awesome listening to you on WIP! so wise like a Yoda!
717733371_390879194940706816 x	Just spent 28 min completing this coyote triathlon in gta v.#feelslikeijustranatrialthlon
717733371_390855549895843840 x	@MikeandIke94WIP @SportsRadioWIP i cant stand the cowboys, makes me wanna reach out and slap them when i see someone in cowboys gear
717733371_390719662058909696 x	RT @MLB: After Doug Fister?s gem, @Tigers starters have given up just 3 runs with 42 Ks in 27 #ALCS innings. That?s surreal: http://t.co/7D?
717733371_390685303650123776 x	Playin some gta 5 #xboxgtav
717733371_390680415352410112 x	@MrICanDueDat thanks for following me dude. Kickass sunday! #beatthecowboys#bleedgreen
717733371_390679856968916992 x	I need more followers #followme
717733371_390679355804106753 x	Interesting thought:what would life be without sports?#scarythought#lifewouldsuck
717733371_390621422873493505 x	So sad i wont be able to watch the Eagles vs. cowboys game this sunday:(#Workinggg
