21442645_386336841986613248 x	@WCrill hi muff
21442645_325421094192431104 x	@jaymelamm I better see you when you come to aTx for ros wedding
21442645_296073067363446784 x	?@ChrisBailey2011: I love Suits!! Best show on cable television probably ever. #goUSA? @wcrill and I love @suitsusa
21442645_286551570693361664 x	@WCrill love you
21442645_285931041619861504 x	I love how @WCrill blames his farts on the dog #romance
21442645_273254547424677888 x	@WCrill does that mean what I think it does?
21442645_273255773885300736 x	@WCrill y or n
21442645_273256039959371777 x	@WCrill balls
21442645_273256536560787457 x	@WCrill p.s.  I love that we tweet each other from diff rooms in the condo
21442645_267818451916169217 x	my fianc? bought us tickets to see Breaking Dawn pt 2 this weekend. #fianceoftheyear love you @WCrill
21442645_253264929963008000 x	@jaymelamm which ones did you get? I have the Taylor. Looooove them
21442645_252566451314098176 x	LET'S GO EAGLES (proud of me @WCrill?)
21442645_244850727216881665 x	Wes started Vick over Schaub in FF today. He should have listened to his fianc? #kickinghimselfinthearse
