1725768870_396417556330070016 x	@Craigslist_26 c'mon man lol
1725768870_396342439406882816 x	@LNuwanda harry potter lol
1725768870_395740238506893312 x	Send him don't hold him up at third!!!
1725768870_395739864064602112 x	@Shashmacks_15 I'm hearing the same thing hahaha
1725768870_395738745129164800 x	RT @MBarkannCSN: And who'd a thought that at 7PM?  RT @McCaw19: @MBarkannCSN the Sixers have won a home game more recently than the Eagles.?
1725768870_395731088813088768 x	RT @SportsCenter: Michael Carter-Williams EXPLODES onto NBA scene in an upset over Heat. 9 steals are most EVER for rookie in a debut. http?
1725768870_395730650768355328 x	RT @Craigslist_26: Headlines tomorrow: "Cause everything little thing is gonna be alright: Sox win Series!"  #WorldSeries #RedSox #cardinals
1725768870_395729946947387392 x	RT @MagicJohnson: Michael Carter-Williams put up 22 pts, 7 rebs, 12 ast and 9stl tonight in the win over the Heat.
1725768870_395729444520079360 x	Shout out to victorino and the Sixers #killinit
1725768870_395697647212052480 x	RT @SportsCenter: No brotherly love for @MiamiHEAT in Philadelphia.  76ers start game on 19-0 run, lead 33-14 after 1st quarter. This is NO?
1725768870_394642191601397761 x	RT @Pontifex: The crucifix does not signify defeat or failure.  It reveals to us the Love that overcomes evil and sin.
1725768870_394639950215651328 x	Eagles lost, fantasy team lost, but at least the cowboys lost
1725768870_394622607062204416 x	@Craigslist_26 predictions for tonite?
1725768870_394639803838631936 x	@Craigslist_26 big papi came to play once again
1725768870_394176635806957568 x	RT @MikeVick: Let's turn this season around!
1725768870_394170978327986176 x	Finding God in Modern Music: http://t.co/bFqyMoup19
1725768870_393563578911182849 x	Wht just happened
1725768870_393554547844866048 x	@AlexKonczylo finally got a win
1725768870_393561588453888000 x	@AlexKonczylo haha you kno it
1725768870_393561504693637120 x	RT @AlexKonczylo: @phillyhoops32 against the bitch ass Rangers too
1725768870_393559356647944192 x	RT @Craigslist_26: Big Papi doing Big Papi things.
1725768870_393512531903660032 x	#flyers better win tonite G needs to step up
1725768870_393506485369864192 x	RT @Craigslist_26: @phillyhoops32 http://t.co/t8m3nepWoi
1725768870_393202186169356288 x	RT @DuckDynastyAE: Si's got #attitude. #DuckDynasty #TrickorTweet http://t.co/iDFXOsuaK7
1725768870_393193519684526080 x	RT @howardeskin: #redsox @ShaneVictorino has to stop whinning about ball and strike calls and just realize he's basically a 220 hitter.
1725768870_393185479069556736 x	RT @Craigslist_26: Could things be going any worse for the Cardinals right now?
1725768870_393184741668970496 x	I wish I was at fenway right now
1725768870_392723917053657088 x	RT @RoobCSN: Matt Barkley just said Vick actually took all the first-team reps. VIck will be your starter, barring a setback.
1725768870_392080872046071808 x	Birds lost but still got to spend the day with some great friends @Liz_Cow @calvinhopkins12 http://t.co/HMtWIpulI4
1725768870_392068950571229184 x	Andy Reid and the chiefs are now officially annoying
1725768870_392066912878080000 x	Can the chiefs please lose c'mon now
1725768870_391914582807420929 x	RT @SportsCenter: ICYMI: Seminoles TE Nick O'Leary's BULLDOZER move just about summed up FSU-Clemson ? http://t.co/fKzvkeEjgt
1725768870_391802977398571008 x	#themooseisloose #dallassucks http://t.co/fraW4sTg7M
1725768870_391802764239863808 x	@kyle_skin @johnclarknbc10 yea good one, the good thing about shaner is tht at least he helped us win a ring
1725768870_391799906626981888 x	RT @Pontifex: The love of God is not something vague or generic; the love of God has a name and a face: Jesus Christ.
1725768870_391798023384485888 x	RT @johnclarknbc10: Mike Richards. Jeff Carter. Hunter Pence. Shane Victorino....
1725768870_391796541427838976 x	@LNuwanda please call the cops to come get me #bashful
1725768870_391794988717457408 x	@DaniGershkow your like all over my fb new feed you need to calm down with all these pictures lol
1725768870_391791067059982336 x	RT @SportsCenter: "I just want to say one thing: This is our BLEEP city! Boston Strong!" - David Ortiz (@davidortiz)
1725768870_391790833995100160 x	RT @Craigslist_26: The Flyin' Hawaiian. Oh my
1725768870_391789933763252224 x	12 hours to kick off #dallassucks
1725768870_391705963285471232 x	Johnny football time to shine
1725768870_391701081971236864 x	Too many choices tonite Red Sox tigers, Arkansas Alabama, Clemson fsu, and Norte dame USC, #wow
1725768870_391698551254048770 x	Johnny football needs to get back in this game
1725768870_391350812318121984 x	RT @RoobCSN: How many hoagies has Wawa sold since the Eagles last won a home game? You won't believe it. http://t.co/mehbpHtLLM
1725768870_389882804487872512 x	@LNuwanda #bashful #harrypotter #snape
