1581864030_396520854592303104 x	@ProFootballTalk how about a resolution to change the name of Washington, D.C. To uselessvile
1581864030_396459001568690176 x	@CrossingBroad breaking news - given tonight's performance ed snider locks Emory up for 10 years 50 million
1581864030_396458557924970496 x	@MikeMiss975 seriously though given tonight's performance do the flyers lock Emory up for 10 years?
1581864030_396455922576277504 x	@MikeMiss975 dude this is awesome mush mush mush
1581864030_396454108388798465 x	@MikeMiss975
1581864030_396448842133946368 x	@MikeMiss975 we would like to interrupt your regularly scheduled tweets for a mush update: USC is winning
1581864030_394551861002649600 x	@Ike58Reese they cover a tight end on anything and anything
1581864030_393558771764838400 x	@TonyBrunoShow bruno! Slept on the red couch my buddy bought from you then I saw the Lisa ann interview a little scared now
1581864030_393558347938820096 x	@CrossingBroad on an off-speed pitch Ryan Howard can do that any day.......
1581864030_393557821666889729 x	@HARRYMAYES975 @davidortiz 85 mph you mean he can hit off speed too?!!
1581864030_393557672127381505 x	@HARRYMAYES975 yea but we have Ryan Howard!!!!!!!!!
1581864030_393077908593713153 x	@MikeMiss975 ultimate violation was foo fighters doing monkey wrench acoustic I wanted to smash a guitar on grohls head
1581864030_392643238076874752 x	@JordanRaanan that is one hell of an acceptance speech. If this http://t.co/LmukpN6kTC thing doesn't work try politics
1581864030_392491324525776896 x	@TonyBrunoShow they scored more than twice what the eagles did
1581864030_392493228639145984 x	@TonyBrunoShow no I meant that in the most depressed tone possible. I think on radio tomorrow we need dr Phil for tips on coping
1581864030_390560512163213313 x	@MikeMiss975 wd 40
1581864030_390284653430861824 x	@MikeMiss975 giving you credit for anything is slightly harder than murdering my own mother but nice call on the line tonight
1581864030_390150813513170945 x	@JonandSeanShow the foundation of chips philosophy is to substitute as few times as possible so the defense can't substitute so no 2 qb
1581864030_389470919070351360 x	@TonyBrunoShow thank god the government isn't the one paying off these refs- keep the calls coming!
1581864030_388316441902329856 x	@WIPMorningShow @rheahughes and vice versa
1581864030_388316280144797696 x	@WIPMorningShow @rheahughes men are better at dealing with other women who are currently acting rude
1581864030_387030699649531904 x	@HARRYMAYES975 yea you and a bottle of bankers club would really knock her off her feet
1581864030_386967689551691776 x	@howardeskin @SportsRadioWIP you
1581864030_386555381948100608 x	@JordanRaanan I stopped reading after Thornton wasn't the top d-lineman #thisisyourjob
1581864030_386220660336635904 x	@MikeMiss975 squirrels and disease? How about those hookers and woods.... Some were suspect
1581864030_386088126927884288 x	@WIPMorningShow weasel of the week - Angelo for talking politics on sports talk radio!!!!!
1581864030_385508019058278401 x	@MikeMiss975 http://t.co/lDMdg0NOUq
1581864030_380906473880322048 x	@Jkelce dude way to handle Poe
1581864030_380901495774150656 x	@975TheFanatic @TonyBrunoShow @HARRYMAYES975 how did no one cover the crowd cheating Andy Reid at the end?!?!?!?!!
1581864030_380900576412069888 x	@RoobCSN whole crowd chanting Andy Reid boobs don't cover it
1581864030_380900191966339073 x	@MikeMiss975 I will make a real twitter b
1581864030_380895689901105152 x	@975TheFanatic where they going..,,,,,, they going nooooo wherrrrr
1581864030_380893741252624384 x	@MikeMiss975 mike I honestly made this account to bust ur balls but like these announcers... I am in my moms basement and now have A career
1581864030_380165371309084672 x	@danieltosh life's a garden dig it? Gotta make it work for you
1581864030_380156583957000192 x	@howardeskin @GreatestQuotes giving headaches doesn't count
1581864030_378226703753281536 x	@MikeMiss975 Jeffrie lurie invented the gold standard
1581864030_377594474681356288 x	@PrudentialBYC sell shitty annuities
1581864030_377573959115735040 x	@MikeVick
1581864030_377571073497518080 x	@MikeVick the first thing I thought of after reading that tweet was you doing backflips last year in the pocket to try and stay alive
1581864030_376930084734902272 x	@MikeMiss975 party of mike... Not a liberal hack at all
1581864030_373863403699585025 x	@HARRYMAYES975 @975TheFanatic Waking up to a chick that you thought was a 10 at the shore bar and she turned out to be a two and a half.
1581864030_369924589910257665 x	@MikeMiss975 the slimful girl is the answer!!!
1581864030_366301234593939456 x	@SeanBrace975 swing pansey
1581864030_360436111153176577 x	@JonandSeanShow breaking news raj is now leaning towards not signing chase utley asked Ben Franklin to come to cbp and take some balls
1581864030_359508905006608384 x	@TonyBrunoShow the difference  is if mike talked about the kid like he does lebron he'd be on to catch a predator
1581864030_357572438005006337 x	@TonyBrunoShow  bonus question how long before anyone fixes mikes Wikipedia page.
