441164324_396420126868013056 x	@HoobaRell wut is this
441164324_396420730042482690 x	@HoobaRell it looks a lot like mine
441164324_396421789741371392 x	@HoobaRell Does this mean youre gonna give me a massage
441164324_396410764334231552 x	I think im illiterate in math I cannot count
441164324_396412404604862465 x	@HoobaRell ok maybe im not
441164324_396069960986132480 x	@HoobaRell If I trick or treat at ur house will u gimme kibbeh
441164324_395741165196410880 x	Men with a beard & Tattoos >>
441164324_395759325932945408 x	@HoobaRell do u have a beard or any tattoos kenny?
441164324_395763952850067457 x	@HoobaRell U still sessy as hellll shawty
441164324_395636953527615488 x	@HoobaRell @julieeetn aw thankyou?
441164324_395378019474612224 x	You can tell @Nicbaaa has recently become an Ahs fan bcus all she reblogs on tumblr are pictures of Evan Peters. ???
441164324_395378571956719616 x	@HoobaRell @Nicbaaa u trynna get beat tf up by me a Coley arent you
441164324_395379796676714496 x	@HoobaRell @Nicbaaa we got a woman beater over here ???
441164324_395380115963928577 x	@HoobaRell @Nicbaaa Thats hot
