1857575286_379312640772014081 x	he let me not get carried away... no no Robert will won then design on his own
1857575286_396774725923643392 x	he lol... no no Good stuff
1857575286_396711413936160768 x	he No, not twitter. no no The whole Flyers Organization.
1857575286_396709780464492544 x	he now learn how to dance and play defence you jabroni!
1857575286_396708927414362112 x	he LOL! no no Even his injury review in inconsistent now! no no Organ-blackeye-zation at it is best. no no What a joke...
1857575286_396700621497065472 x	he As a Flyers fan all I can admit is karma is a bitch. no Joke of a Team... no no Hope he is healing but this Team is a mess...
1857575286_396699329588494336 x	he he played my whole life - I agree this is THE REASON it is a niche sport I agree last night was on flavor thuggery
1857575286_396696942295937024 x	RT he Dismal year and get your game and respect back - no hiding in showers
1857575286_396696109264801792 x	he maybe you should Coach them toc because I see no difference in what Lavy was doing - best result. no This team is just bad - period.
1857575286_396634277796126720 x	he can you get him some sports problems and heart for his be day?
1857575286_396632782031839232 x	RT he Flyers REALLY need to listen 2nite. If not Emery "fight" looks even worse. They must have Emery's back. He gave RSVP - see if
1857575286_396629862615908352 x	RT he Ray Emery is as tough as any player. No question. What we saw last night is not toughness.
1857575286_396478818715979776 x	he problem of a team. no no no Ashamed to be a fan really...
1857575286_396474736454406144 x	he he no why would they? no no no They do not need practice!
1857575286_396474239798489090 x	he here here Glenn... no no Finally someone making sense. no no no The rest of his technology company people think it was warranted. no no Classless
1857575286_396472223789494272 x	he just hurry up G. no no no Do something! no no 8M for 8 years is strange to think about... no Nowhere near his rank player in his world
1857575286_396471784536809472 x	he he if holdup wanted a fight fine... no no He was mugged by Emery. no no no Classless act and an utter joke... no Just like this Org
1857575286_396470232409468928 x	he I usually agree bundy but that was classless and needs a suspension. no no no Same BS we blasted his Pens for a few years back...
1857575286_396467325492559872 x	he I hope it is Snider on his stretcher.
1857575286_396094362104647681 x	RT he Tonight's Official pushball from Atlantic City: URL
1857575286_394953092028170240 x	he if miracles really works g would have scored by now... no no 8M a year for 8years. no Let's hope his government can help...
1857575286_394104244909146112 x	he mess to sports dude. no no No one knows no Bout you RW agenda... no no no Baseball?
1857575286_391958056441241600 x	he no you are a school act Marty... no no no Great personal
1857575286_391555154954420224 x	he holy Carini!
