541321444_289763561599811584 x	@sonya9951 and that was my first tweet ever
541321444_289763281227354112 x	@big1174 at work and my patient's father pants are hanging off.
541321444_398792308126384128 x	@MikeFOX29 WHO IS THIS ASSHOLE MAKING FUN OF SOMEONE WHO WAS HARASSED. INCINTO BROKE THE LAW AND SHOULD BE PUNISHED.
541321444_394790327808454657 x	@MikeFOX29 instead of spending money we don't have on these hearings, spend the money on fixing the healthcare site. Fire everyone!!!!
541321444_392468708477911041 x	@SheltonLovin @NBCTheVoice love when you bring your trophies
541321444_392467691124297728 x	@xtina you yelled and my grand daughter yelled like you for about 15 mins. She is one lol.
541321444_388265968402964480 x	@SheinelleFox29 GM,sorry I was the crazy lady in the green Mercedes Benz jeep yelling out the window to you. My mom was so embarrassed.
541321444_387039508900118528 x	@TLC @Theresacaputo I cried so hard when you read the lady who baby died at three months. Its almost a year when I lost my little Emma.
541321444_319854319748919296 x	@ #matemaddness enough with brad and his chick please
541321444_309638015888809984 x	Its time to get rid of these clowns in the government.
541321444_304389132703121408 x	My baby http://t.co/vvJ5N0uzct
541321444_302391852445868033 x	@big1174 hey honey
541321444_302390833733324800 x	Watching the news, its time to get rid of everybody in congress & the house, they don't have layoffs?
541321444_302091787739226113 x	@NeNeLeakes  the view ladies just irks me as soon as you are done so am I.
541321444_302089968464052226 x	Watching the view only cause of nene reality stars trying to cross over, just because there struggle to get on t.v. is different @NeNeLeakes
541321444_302074683359113217 x	Am I weird cause I'm not crazy about Valentine's day. And yes I'm in a relationship and its a great one!!!!!!*
541321444_301328793858109440 x	http://t.co/huFDOidB
541321444_301026281208827904 x	My honey @ bigg1174
541321444_301014796801830912 x	http://t.co/15I6pLvK
541321444_301014555490922496 x	The family http://t.co/0mGCrn8M
541321444_301013999544307712 x	At work http://t.co/V4eeIQyI
541321444_301013305038864384 x	http://t.co/ZAec8dA1
541321444_301012946090336256 x	On my way to the gym http://t.co/WpS4XKhG
541321444_301010168332828672 x	Just me http://t.co/YmDTyuTc
541321444_300785356511514624 x	I have been a fan from the begin. Keep up the good work
541321444_291028691889311744 x	??I've been using Life360 and I think you might like it. Check it out from your Android phone: http://t.co/3QnrNaq3
541321444_289759290976251904 x	I'm never going to have any luck, cause everytime I turn around I see somebodies butt so be it if its a guy or a girl.
